Player Name,Position,OVR Rating,Pace,Shooting,Passing,Dribbling,Defending,Physical
Bukayo Saka,RW,88,91,84,83,89,66,74
Gabriel Magalhães,CB,88,74,40,68,63,88,86
Declan Rice,CDM,87,73,74,83,80,86,85
William Saliba,CB,87,82,39,72,73,87,84
Martin Ødegaard,CAM,87,75,80,88,88,60,66
Viktor Gyökeres,ST,87,88,87,75,83,45,89
David Raya,GK,87,86 (DIV),85 (HAN),88 (KIC),88 (REF),48 (SPD),83 (POS)
Ben White,RB,83,78,45,76,76,82,77
Leandro Trossard,LW,83,77,81,80,84,47,60
Jurrien Timber,RB,82,82,52,75,80,82,80
Gabriel Martinelli,LW,82,89,77,74,83,45,69
Mikel Merino,CM,82,70,74,80,81,79,82
Kai Havertz,ST,82,78,78,78,81,55,75
Riccardo Calafiori,LB,81,79,50,74,78,81,80
Thomas Partey,CDM,81,65,71,81,80,79,81
